Valutazione;;;;;EVALUATOR 1 ;;;;;;;;;;;;EVALUATOR 2 ;;;;;;;;;;;;EVALUATOR 3;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;#ÁREF!;#ÁREF!;2;#ÁREF!;B;;;B3;D2;E3;1;1;B3;B2;B2;;B;;;B3;1;E2;F2;B2;H2;1;1;;B;;;B2;D3;E5;F5;G2;H3;1;L5
C;#ÁREF!;#ÁREF!;3;#ÁREF!;C;;;;D3;E4;F2;G2;1;1;1;;C;;;;D4;E5;F4;1;H3;I3;L3;;C;;;;D5;E5;F5;G5;H5;I5;L4
D;#ÁREF!;#ÁREF!;4;#ÁREF!;D;;;;;E2;D2;D3;D3;D3;D3;;D;;;;;E2;F2;D2;D2;D3;1;;D;;;;;E3;F3;D4;D2;D2;1
E;#ÁREF!;#ÁREF!;5;#ÁREF!;E;;;;;;E3;E4;E4;E5;E4;;E;;;;;;E2;E4;E3;E3;E2;;E;;;;;;1;E4;E3;E5;E4
F;#ÁREF!;#ÁREF!;6;#ÁREF!;F;;;;;;;F2;F2;F2;F2;;F;;;;;;;F3;F2;F3;F2;;F;;;;;;;F5;F3;F4;F4
G;#ÁREF!;#ÁREF!;7;#ÁREF!;G;;;;;;;;G2;G2;G2;;G;;;;;;;;H3;I3;L3;;G;;;;;;;;H3;1;1
H;#ÁREF!;#ÁREF!;8;#ÁREF!;H;;;;;;;;;1;1;;H;;;;;;;;;H2;L2;;H;;;;;;;;;H2;H3
I;#ÁREF!;#ÁREF!;9;#ÁREF!;I;;;;;;;;;;1;;I;;;;;;;;;;1;;I;;;;;;;;;;1
L;#ÁREF!;#ÁREF!;10;#ÁREF!;L;;;;;;;;;;;;L;;;;;;;;;;;;L;;;;;;;;;;
Partecipanti;_ Confronto;;;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L
A;#ÁREF!;#ÁREF!;1;#ÁREF!;A;;B2;A2;D3;1;A2;A6;A2;A2;A3;;A;;A2;A3;A2;1;A2;A6;1;A3;1;;A;;A3;A3;1;A2;A3;A6;1;A3;1
B;#ÁREF!;#ÁREF!;2;#ÁREF!;B;;;B2;D3;1;B2;B6;B2;1;B2;;B;;;1;D3;E2;1;B6;H2;B2;L3;;B;;;1;D3;E2;1;B6;H3;1;L3
C;#ÁREF!;#ÁREF!;3;#ÁREF!;C;;;;D3;E2;1;C6;1;C2;C2;;C;;;;D3;E2;1;C6;H3;C2;L3;;C;;;;D3;E2;1;C6;H3;1;L3
D;#ÁREF!;#ÁREF!;4;#ÁREF!;D;;;;;D3;D3;D6;D3;D4;D4;;D;;;;;1;D3;D6;H2;D3;L2;;D;;;;;D2;D3;D6;1;D3;1
E;#ÁREF!;#ÁREF!;5;#ÁREF!;E;;;;;;E2;E6;E2;E2;E2;;E;;;;;;E2;E6;1;E3;1;;E;;;;;;E2;E6;H2;E2;L2
F;#ÁREF!;#ÁREF!;6;#ÁREF!;F;;;;;;;F6;1;F2;F3;;F;;;;;;;F6;H3;F2;L2;;F;;;;;;;F6;H3;F2;L3
